,Unnamed: 0,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,tweet words,links,replies_sentance,Negative words,Positive words,Sentiment Score,hour,minute,day
10,10,"""Improving American transit doesn’t necessarily demand multi-decade, hundred-billion-dollar infrastructure projects: It can be done by taking better advantage of existing space and existing vehicles, and then deploying them in ways that encourage people to actually use them."" https://t.co/wujlV2HMK8 ",2018-10-11 03:52:00,988.0,20.0,0.020242914979757,3.0,[],5.0,2.0,0.0,"['""improving', 'american', 'transit', 'doesn’t', 'necessarily', 'demand', 'multi-decade,', 'hundred-billion-dollar', 'infrastructure', 'projects:', 'it', 'can', 'be', 'done', 'by', 'taking', 'better', 'advantage', 'of', 'existing', 'space', 'and', 'existing', 'vehicles,', 'and', 'then', 'deploying', 'them', 'in', 'ways', 'that', 'encourage', 'people', 'to', 'actually', 'use', 'them.""', 'https://t.co/wujlv2hmk8']",https://t.co/wujlV2HMK8,"['""Improving', 'American', 'transit', 'doesn’t', 'necessarily', 'demand', 'multi-decade,', 'hundred-billion-dollar', 'infrastructure', 'projects:', 'It', 'can', 'be', 'done', 'by', 'taking', 'better', 'advantage', 'of', 'existing', 'space', 'and', 'existing', 'vehicles,', 'and', 'then', 'deploying', 'them', 'in', 'ways', 'that', 'encourage', 'people', 'to', 'actually', 'use', 'them.""', 'https://t.co/wujlV2HMK8', '']","['ill', 'in', 'ploy', 'rage', 'sting', 'the']","['ace', 'advantage', 'all', 'as', 'bet', 'better', 'can', 'courage', 'doll', 'encourage', 'improving', 'in', 'lion', 'necessarily', 'of', 'on', 'pace', 'pro', 'space', 'the', 'use', 'vantage', 'way']",0.05647840531561462,3,52,4
11,11,"Relevant lunchtime forum on fare policy today at @SPUR_Urbanist in SF! Agree - let's talk #transit - and more specifically, regional fare integration! https://t.co/sH9D3JgXnE ",2018-10-09 15:02:00,1018.0,17.0,0.0166994106090373,1.0,[['@SPUR_Urbanist']],2.0,5.0,0.0,"['relevant', 'lunchtime', 'forum', 'on', 'fare', 'policy', 'today', 'at', '@spur_urbanist', 'in', 'sf!', 'agree', ""let's"", 'talk', '#transit', 'and', 'more', 'specifically,', 'regional', 'fare', 'integration!', 'https://t.co/sh9d3jgxne']",https://t.co/sH9D3JgXnE,"['Relevant', 'lunchtime', 'forum', 'on', 'fare', 'policy', 'today', 'at', '@SPUR_Urbanist', 'in', 'SF!', 'Agree', '-', ""let's"", 'talk', '#transit', '-', 'and', 'more', 'specifically,', 'regional', 'fare', 'integration!', 'https://t.co/sH9D3JgXnE', '']",['in'],"['agree', 'all', 'da', 'fare', 'for', 'in', 'more', 'on', 'relevant', 'today']",0.05142857142857143,15,2,2
12,12,Congrats to our friends @SFTRU on a incredibly successful #TransitWeek 👏👏 And thanks to everyone who came out to the first ever Rider First Awards that we co-hosted! https://t.co/DbAqkjImgT ,2018-10-06 00:50:00,642.0,9.0,0.014018691588785,0.0,[['@SFTRU']],1.0,3.0,0.0,"['congrats', 'to', 'our', 'friends', '@sftru', 'on', 'a', 'incredibly', 'successful', '#transitweek', 'and', 'thanks', 'to', 'everyone', 'who', 'came', 'out', 'to', 'the', 'first', 'ever', 'rider', 'first', 'awards', 'that', 'we', 'co-hosted!', 'https://t.co/dbaqkjimgt']",https://t.co/DbAqkjImgT,"['Congrats', 'to', 'our', 'friends', '@SFTRU', 'on', 'a', 'incredibly', 'successful', '#TransitWeek', '👏👏', 'And', 'thanks', 'to', 'everyone', 'who', 'came', 'out', 'to', 'the', 'first', 'ever', 'Rider', 'First', 'Awards', 'that', 'we', 'co-hosted!', 'https://t.co/DbAqkjImgT', '']","['in', 'the']","['award', 'congrats', 'first', 'friend', 'host', 'in', 'incredibly', 'on', 'success', 'successful', 'thank', 'thanks', 'the', 'very', 'yo']",0.06842105263157894,0,50,6
13,13,"@theGreaterMarin @LowHeadways We 100% believe transfer discounts should be approached strategically to support the use of transit as a network! No great Bay Area studies to share as of now, though -- @MTCBATA should study the impacts further.

@SPUR_Urbanist, any insights/data points to share? ",2018-10-04 17:28:00,128.0,10.0,0.078125,0.0,"[['@theGreaterMarin'], ['@LowHeadways'], ['@MTCBATA'], ['@SPUR_Urbanist,']]",1.0,1.0,0.0,"['@thegreatermarin', '@lowheadways', 'we', 'believe', 'transfer', 'discounts', 'should', 'be', 'approached', 'strategically', 'to', 'support', 'the', 'use', 'of', 'transit', 'as', 'a', 'network!', 'no', 'great', 'bay', 'area', 'studies', 'to', 'share', 'as', 'of', 'now,', 'though', '@mtcbata', 'should', 'study', 'the', 'impacts', 'further.', '@spur_urbanist,', 'any', 'insights/data', 'points', 'to', 'share?']",,"['@theGreaterMarin', '@LowHeadways', 'We', '100%', 'believe', 'transfer', 'discounts', 'should', 'be', 'approached', 'strategically', 'to', 'support', 'the', 'use', 'of', 'transit', 'as', 'a', 'network!', 'No', 'great', 'Bay', 'Area', 'studies', 'to', 'share', 'as', 'of', 'now,', 'though', '--', '@MTCBATA', 'should', 'study', 'the', 'impacts', 'further.\n\n@SPUR_Urbanist,', 'any', 'insights/data', 'points', 'to', 'share?', '']","['ache', 'ached', 'belie', 'die', 'dies', 'in', 'lie', 'mar', 'no', 'the', 'ugh']","['all', 'as', 'believe', 'da', 'great', 'hare', 'head', 'headway', 'in', 'insight', 'now', 'of', 'pro', 'share', 'sight', 'strategic', 'stud', 'study', 'sup', 'support', 'the', 'up', 'use', 'way', 'work']",0.04745762711864406,17,28,4
14,14,A clear vision for Bay Area mobility should be the basis of our regional plan; specific projects shouldn't dictate the vision. We submitted a proposal to @MTCBATA for regional fare/service/branding integration - thanks @StreetsblogSF for amplifying our message on why it matters! https://t.co/VbsvzDIW8w ,2018-10-03 04:16:00,739.0,18.0,0.0243572395128552,0.0,"[['@MTCBATA'], ['@StreetsblogSF']]",5.0,3.0,0.0,"['a', 'clear', 'vision', 'for', 'bay', 'area', 'mobility', 'should', 'be', 'the', 'basis', 'of', 'our', 'regional', 'plan;', 'specific', 'projects', ""shouldn't"", 'dictate', 'the', 'vision.', 'we', 'submitted', 'a', 'proposal', 'to', '@mtcbata', 'for', 'regional', 'fare/service/branding', 'integration', 'thanks', '@streetsblogsf', 'for', 'amplifying', 'our', 'message', 'on', 'why', 'it', 'matters!', 'https://t.co/vbsvzdiw8w']",https://t.co/VbsvzDIW8w,"['A', 'clear', 'vision', 'for', 'Bay', 'Area', 'mobility', 'should', 'be', 'the', 'basis', 'of', 'our', 'regional', 'plan;', 'specific', 'projects', ""shouldn't"", 'dictate', 'the', 'vision.', 'We', 'submitted', 'a', 'proposal', 'to', '@MTCBATA', 'for', 'regional', 'fare/service/branding', 'integration', '-', 'thanks', '@StreetsblogSF', 'for', 'amplifying', 'our', 'message', 'on', 'why', 'it', 'matters!', 'https://t.co/VbsvzDIW8w', '']","['ding', 'in', 'matte', 'mess', 'sag', 'the', 'vice']","['as', 'clear', 'ear', 'fare', 'for', 'in', 'matter', 'mobility', 'of', 'on', 'pro', 'sage', 'service', 'thank', 'thanks', 'the', 'vision']",0.03289473684210527,4,16,3
15,0,"Care about transit? Free tomorrow night? Join us and @SFTRU for the region’s first transit experience awards! Come enjoy drinks/food, and meet other awesome transit advocates to celebrate the end of #TransitWeek (shout-out to @remix for hosting!)  https://t.co/3LrP1X7a9N https://t.co/npa70yxXRf ",2018-09-27 19:03:00,593.0,21.0,0.0354131534569983,1.0,"[['@SFTRU'], ['@remix']]",2.0,2.0,4.0,"['care', 'about', 'transit?', 'free', 'tomorrow', 'night?', 'join', 'us', 'and', '@sftru', 'for', 'the', 'region’s', 'first', 'transit', 'experience', 'awards!', 'come', 'enjoy', 'drinks/food,', 'and', 'meet', 'other', 'awesome', 'transit', 'advocates', 'to', 'celebrate', 'the', 'end', 'of', '#transitweek', '(shout-out', 'to', '@remix', 'for', 'hosting!)', 'https://t.co/3lrp1x7a9n', 'https://t.co/npa70yxxrf']","https://t.co/3LrP1X7a9N, https://t.co/npa70yxXRf","['Care', 'about', 'transit?', 'Free', 'tomorrow', 'night?', 'Join', 'us', 'and', '@SFTRU', 'for', 'the', 'region’s', 'first', 'transit', 'experience', 'awards!', 'Come', 'enjoy', 'drinks/food,', 'and', 'meet', 'other', 'awesome', 'transit', 'advocates', 'to', 'celebrate', 'the', 'end', 'of', '#TransitWeek', '(shout-out', 'to', '@remix', 'for', 'hosting!)', '', 'https://t.co/3LrP1X7a9N', 'https://t.co/npa70yxXRf', '']","['brat', 'in', 'sting', 'the']","['award', 'awesome', 'care', 'celebrate', 'enjoy', 'first', 'for', 'free', 'host', 'in', 'joy', 'of', 'on', 'the']",0.033783783783783786,19,3,4
16,1,"Our Rider-First Awards Party is in 2 days, and we can't wait! Take 1 minute right now to buy your ticket! @SFTRU @remix https://t.co/3awJEstkQl https://t.co/NnDS5xKQrh ",2018-09-27 00:32:00,543.0,2.0,0.003683241252302,0.0,"[['@SFTRU'], ['@remix']]",0.0,0.0,2.0,"['our', 'rider-first', 'awards', 'party', 'is', 'in', 'days,', 'and', 'we', ""can't"", 'wait!', 'take', 'minute', 'right', 'now', 'to', 'buy', 'your', 'ticket!', '@sftru', '@remix', 'https://t.co/3awjestkql', 'https://t.co/nnds5xkqrh']","https://t.co/3awJEstkQl, https://t.co/NnDS5xKQrh","['Our', 'Rider-First', 'Awards', 'Party', 'is', 'in', '2', 'days,', 'and', 'we', ""can't"", 'wait!', 'Take', '1', 'minute', 'right', 'now', 'to', 'buy', 'your', 'ticket!', '@SFTRU', '@remix', 'https://t.co/3awJEstkQl', 'https://t.co/NnDS5xKQrh', '']","[""can't"", 'in', 'no']","['art', 'award', 'can', 'da', 'first', 'in', 'jest', 'now', 'party', 'right', 'take', 'yo', 'you']",0.05952380952380953,0,32,4
17,2,"@andybosselman @CurbedSF @MTCBATA Lean startup, @MTCBATA-style: '“I think people should give us a little bit of time to see how it works out and then call us on whether or not we are correct,” said [MTC exec] Fremier. “But I think we’re headed down a very good path.”' Let's prototype Clipper, $500M at a time. ",2018-09-25 17:15:00,1413.0,20.0,0.0141542816702052,6.0,"[['@andybosselman'], ['@CurbedSF'], ['@MTCBATA'], ['@MTCBATA-style:']]",4.0,0.0,0.0,"['@andybosselman', '@curbedsf', '@mtcbata', 'lean', 'startup,', '@mtcbata-style:', ""'“i"", 'think', 'people', 'should', 'give', 'us', 'a', 'little', 'bit', 'of', 'time', 'to', 'see', 'how', 'it', 'works', 'out', 'and', 'then', 'call', 'us', 'on', 'whether', 'or', 'not', 'we', 'are', 'correct,”', 'said', '[mtc', 'exec]', 'fremier.', '“but', 'i', 'think', 'we’re', 'headed', 'down', 'a', 'very', 'good', ""path.”'"", ""let's"", 'prototype', 'clipper,', '$500m', 'at', 'a', 'time.']",,"['@andybosselman', '@CurbedSF', '@MTCBATA', 'Lean', 'startup,', '@MTCBATA-style:', ""'“I"", 'think', 'people', 'should', 'give', 'us', 'a', 'little', 'bit', 'of', 'time', 'to', 'see', 'how', 'it', 'works', 'out', 'and', 'then', 'call', 'us', 'on', 'whether', 'or', 'not', 'we', 'are', 'correct,”', 'said', '[MTC', 'exec]', 'Fremier.', '“But', 'I', 'think', 'we’re', 'headed', 'down', 'a', 'very', 'good', ""path.”'"", ""Let's"", 'prototype', 'Clipper,', '$500M', 'at', 'a', 'time.', '']","['down', 'in', 'no', 'not', 'rot', 'sty', 'the']","['aid', 'all', 'art', 'correct', 'give', 'go', 'good', 'head', 'how', 'in', 'lean', 'of', 'on', 'pro', 'star', 'start', 'style', 'the', 'up', 'very', 'whet', 'work', 'works']",0.05144694533762058,17,15,2
18,3,"@andybosselman @CurbedSF @MTCBATA Transit riders: ""we'd like to pay with what's already in our pockets - smartphones and credit cards - instead of having to get another random account we don't need that has to be topped up and accessed by a piece of plastic we don't want"". MTC: ""that's just a bell and whistle!"" ",2018-09-25 17:13:00,1128.0,11.0,0.0097517730496453,1.0,"[['@andybosselman'], ['@CurbedSF'], ['@MTCBATA']]",3.0,1.0,0.0,"['@andybosselman', '@curbedsf', '@mtcbata', 'transit', 'riders:', '""we\'d', 'like', 'to', 'pay', 'with', ""what's"", 'already', 'in', 'our', 'pockets', 'smartphones', 'and', 'credit', 'cards', 'instead', 'of', 'having', 'to', 'get', 'another', 'random', 'account', 'we', ""don't"", 'need', 'that', 'has', 'to', 'be', 'topped', 'up', 'and', 'accessed', 'by', 'a', 'piece', 'of', 'plastic', 'we', ""don't"", 'want"".', 'mtc:', '""that\'s', 'just', 'a', 'bell', 'and', 'whistle!""']",,"['@andybosselman', '@CurbedSF', '@MTCBATA', 'Transit', 'riders:', '""we\'d', 'like', 'to', 'pay', 'with', ""what's"", 'already', 'in', 'our', 'pockets', '-', 'smartphones', 'and', 'credit', 'cards', '-', 'instead', 'of', 'having', 'to', 'get', 'another', 'random', 'account', 'we', ""don't"", 'need', 'that', 'has', 'to', 'be', 'topped', 'up', 'and', 'accessed', 'by', 'a', 'piece', 'of', 'plastic', 'we', ""don't"", 'want"".', 'MTC:', '""that\'s', 'just', 'a', 'bell', 'and', 'whistle!""', '']","[""don't"", 'in', 'mar', 'no', 'not', 'the']","['art', 'as', 'credit', 'hone', 'in', 'just', 'like', 'need', 'of', 'on', 'ready', 'smart', 'the', 'top', 'up', 'want', 'wit', 'with']",0.038338658146964855,17,13,2
19,4,"@andybosselman @CurbedSF Wondering when @MTCBATA will value meeting rider needs w/ Clipper 2.0? Wonder no longer: “Most of the people don’t even understand or care about all the kinds of things that people are talking about relative to this, that, and the other bell and whistle” - MTC exec Andrew Fremier ",2018-09-25 17:09:00,1027.0,14.0,0.0136319376825705,0.0,"[['@andybosselman'], ['@CurbedSF'], ['@MTCBATA']]",4.0,1.0,0.0,"['@andybosselman', '@curbedsf', 'wondering', 'when', '@mtcbata', 'will', 'value', 'meeting', 'rider', 'needs', 'w/', 'clipper', 'wonder', 'no', 'longer:', '“most', 'of', 'the', 'people', 'don’t', 'even', 'understand', 'or', 'care', 'about', 'all', 'the', 'kinds', 'of', 'things', 'that', 'people', 'are', 'talking', 'about', 'relative', 'to', 'this,', 'that,', 'and', 'the', 'other', 'bell', 'and', 'whistle”', 'mtc', 'exec', 'andrew', 'fremier']",,"['@andybosselman', '@CurbedSF', 'Wondering', 'when', '@MTCBATA', 'will', 'value', 'meeting', 'rider', 'needs', 'w/', 'Clipper', '2.0?', 'Wonder', 'no', 'longer:', '“Most', 'of', 'the', 'people', 'don’t', 'even', 'understand', 'or', 'care', 'about', 'all', 'the', 'kinds', 'of', 'things', 'that', 'people', 'are', 'talking', 'about', 'relative', 'to', 'this,', 'that,', 'and', 'the', 'other', 'bell', 'and', 'whistle”', '-', 'MTC', 'exec', 'Andrew', 'Fremier', '']","['ill', 'in', 'no', 'the']","['all', 'care', 'even', 'in', 'kind', 'most', 'need', 'of', 'on', 'the', 'under', 'understand', 'value', 'will', 'won', 'wonder', 'wondering']",0.04248366013071895,17,9,2
